sp,forest_type,sp_status
ACEROB,SEF,Canopy
ACROPE,SEF,Midstorey
AGLAOD,SEF,Understorey
AGLASP,SEF,Midstorey
ALANCH,SEF,Gap
ALBILU,Both,Canopy
ALCHRU,SEF,Understorey
ALPHVE,SEF,Canopy
ANISCO,SEF,Canopy
ANTIMO,Both,Understorey
APHAPO,SEF,Canopy
ARDIPO,SEF,Understorey
ARYTLI,SEF,Midstorey
BACCRA,SEF,Midstorey
BEILGA,SEF,Canopy
CASSFI,MDF,Canopy
CHAMMA,SEF,Understorey
CHUKTA,SEF,Canopy
CLEISP,SEF,Midstorey
COLOJA,MDF,Midstorey
CORDDI,MDF,Midstorey
CRATMA,Both,Midstorey
CROTHU,MDF,Understorey
CROTRO,Both,Midstorey
CYATMA,SEF,Midstorey
DALBCA,SEF,Canopy
DALBCO,MDF,Canopy
DALBOL,MDF,Canopy
DERRDA,SEF,Midstorey
DIMOLO,SEF,Midstorey
DIOSFE,Both,Midstorey
DIOSVA,SEF,Midstorey
DIOSWI,SEF,Midstorey
DIPTAL,SEF,Canopy
DRYPHO,SEF,Midstorey
DYSOGR,SEF,Midstorey
FERNAD,MDF,Midstorey
GARCSP,SEF,Midstorey
GARUPI,MDF,Canopy
GLUTOB,Both,Canopy
HARPAR,SEF,Midstorey
HARPCU,SEF,Midstorey
HOPEOD,SEF,Canopy
ILEXUM,SEF,Midstorey
IRVIMA,MDF,Canopy
LAGEBA,MDF,Canopy
LAGECA,Both,Canopy
LAGETO,Both,Canopy
LAGEVI,Both,Canopy
LEPIRU,Both,Midstorey
LITHTH,SEF,Midstorey
MACASI,SEF,Gap
MALLPH,SEF,Understorey
MANGCA,Both,Canopy
MANGQU,Both,Canopy
MARKST,MDF,Midstorey
MEMEOV,SEF,Understorey
MEMEPL,SEF,Understorey
MICRMI,SEF,Understorey
MICRPA,Both,Midstorey
MISCPE,SEF,Midstorey
MITRTH,SEF,Midstorey
MURRPA,SEF,Understorey
NEOLOB,SEF,Midstorey
NEPHHY,SEF,Midstorey
OROPPO,SEF,Understorey
PERSXX,SEF,Canopy
PHOEPA,SEF,Midstorey
PHYLCO,SEF,Midstorey
POLYCE,MDF,Understorey
POLYSU,SEF,Understorey
POLYVI,SEF,Canopy
PRUNAR,SEF,Midstorey
PTERGR,SEF,Midstorey
RADEIG,SEF,Midstorey
SACCLI,SEF,Canopy
SAPIIN,SEF,Midstorey
SAPIRA,MDF,Canopy
SCLEWA,Both,Midstorey
SEMEAL,SEF,Midstorey
SENNTI,SEF,Gap
STERCO,SEF,Midstorey
STERHY,MDF,Canopy
SUREMU,SEF,Understorey
SYZYCU,Both,Canopy
SYZYRI,Both,Midstorey
SYZYSY,SEF,Canopy
TETRNU,SEF,Gap
TREWNU,SEF,Canopy
VATIHA,SEF,Canopy
VITEPE,Both,Midstorey
XANTFL,SEF,Midstorey
XYLOLO,SEF,Midstorey
